co_cnes,resultado
2567180,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
5380561,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
6794165,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2587394,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2587432,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2587440,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2587459,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2587467,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2587483,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2587920,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
3767361,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
3767388,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
5551722,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
4056396,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056418,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056434,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056442,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
6306810,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2573350,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2573830,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2573849,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2754150,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2754525,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2576295,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
2734656,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2576783,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
2576864,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
2576872,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
6882471,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
2731894,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2732181,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2735024,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2735431,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2735512,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2735679,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2735687,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2735695,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2594773,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2683180,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
2684586,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
5141443,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
2585995,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2587556,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2576880,61234458376886086861524070385274672740778091784697328983823014963978384987221689274204160000000000000000
6805396,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
2727455,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2781263,61234458376886086861524070385274672740778091784697328983823014963978384987221689274204160000000000000000
2774534,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2730219,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2730308,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
5467187,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
5846595,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
6780156,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2754576,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
6708277,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2735075,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
