co_cnes,resultado
19186,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21954,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21989,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21997,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
25607,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
2299682,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2299690,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2299704,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2299739,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2300397,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2300621,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2300656,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2300664,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2300745,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2300753,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2301776,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2301792,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2301806,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2301822,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302128,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302136,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302144,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302640,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2305151,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2305194,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2305216,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
