co_cnes,resultado
2230038,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230046,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230054,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230062,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230070,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230089,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230100,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230119,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230127,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230143,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230151,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230178,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230186,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230194,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230208,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230224,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230259,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230275,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230291,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230305,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230364,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230399,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230402,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230429,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230437,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230445,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230453,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2230461,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231336,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231352,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231360,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231379,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231387,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231395,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231409,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231425,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231557,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231565,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231719,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2231964,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2232200,3314240134565353266999387579130131288000666286242049487118846032383059131291716864129885722968716753156177920000000000000000000
2232219,281710411438055027694947944226061159480056634330574206405101912752560026159795933451040286452340924018275123200000000000000000000
2232294,39455239697206586511897471180120610571436503407643446275224357528369751562996629334879591940103770870906880000000000000000000
2232340,475364333701284174842138206989404946643813294067993328617160934076743994734899148613007131808479167119360000000000000000000
2232359,475364333701284174842138206989404946643813294067993328617160934076743994734899148613007131808479167119360000000000000000000
2233622,475364333701284174842138206989404946643813294067993328617160934076743994734899148613007131808479167119360000000000000000000
2233762,475364333701284174842138206989404946643813294067993328617160934076743994734899148613007131808479167119360000000000000000000
2233835,39455239697206586511897471180120610571436503407643446275224357528369751562996629334879591940103770870906880000000000000000000
2234297,3314240134565353266999387579130131288000666286242049487118846032383059131291716864129885722968716753156177920000000000000000000
2235129,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2235196,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2235226,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
