co_cnes,resultado
10138,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10154,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10162,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10170,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10189,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10197,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10200,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10219,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10227,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10235,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10251,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10278,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10286,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10294,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10308,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10316,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10324,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10332,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10340,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10367,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10413,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10421,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
10626,1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
10642,1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
10669,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000
10693,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000
10758,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000
10812,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000
10898,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000
10960,1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
11053,1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
11118,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000
11126,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000
11169,1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
11185,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000
11215,1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
11274,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000
11576,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000
18880,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
19097,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21652,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21660,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21679,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21792,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
24341,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
24422,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
24430,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
24457,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
24465,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
24473,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
24481,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
28789,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
28827,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
28835,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
28851,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2011999,36471110918188685288249859096605464427167635314049524593701628500267962436943872000000000000000
2014173,1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
2133911,2350561331282878571829474910515074683828862318181142924420699914240000000000000
2139006,1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
2172143,1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
2195291,1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
2209896,2350561331282878571829474910515074683828862318181142924420699914240000000000000
2223163,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2223171,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2223198,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2223228,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2223430,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2223449,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2223619,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2223627,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223635,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223643,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223651,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223678,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223686,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223694,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2223708,475364333701284174842138206989404946643813294067993328617160934076743994734899148613007131808479167119360000000000000000000
2223716,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2223724,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2223732,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2223783,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223813,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223821,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223848,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223864,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2223872,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2223899,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2223937,475364333701284174842138206989404946643813294067993328617160934076743994734899148613007131808479167119360000000000000000000
2224003,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2224046,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2224054,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2224070,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2224089,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2224100,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2224119,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2224143,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2224151,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2224178,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
