co_cnes,resultado
19275,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19348,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19364,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19399,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19453,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19488,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19496,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19518,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19542,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19550,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19577,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19585,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19615,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19658,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19666,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19690,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19712,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19739,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19747,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19763,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19771,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19801,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19852,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
19976,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
20028,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
20036,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
20087,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2027550,2480035542436830599600990418569171581047399201355367672371710738018221445712183296000000000000000
2035278,171122452428141311372468338881272839092270544893520369393648040923257279754140647424000000000000000
2051850,171122452428141311372468338881272839092270544893520369393648040923257279754140647424000000000000000
2071266,2480035542436830599600990418569171581047399201355367672371710738018221445712183296000000000000000
2299747,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2299755,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2299763,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2299771,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2299801,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2299828,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2300001,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2300028,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2300052,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2300060,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2300079,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2300095,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2300168,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2300214,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2300249,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2300273,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2300303,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2300354,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2300451,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2300915,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2301016,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302179,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302187,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302195,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2302225,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302241,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302349,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302357,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302373,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302438,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302446,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302454,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302489,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302535,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302586,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2302608,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2302713,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2302802,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2302810,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2303019,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2303183,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2303191,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2303205,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2303302,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2303310,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2303329,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2303337,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2303558,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2305828,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2305895,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2305909,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2305917,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2306042,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2306093,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2306107,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2306115,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2306123,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2306131,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2306174,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2306204,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2306212,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2334836,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2357887,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2377527,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2377780,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2377799,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2377802,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2377810,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2377950,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2378094,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2378299,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2378469,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
