co_cnes,co_ibge,origem_dado,data_atualizacao,lat,long
14060,"410425","SISMOB","2015-05-27","-25.277743873362102","-49.4838461279869"
14079,"410425","SISMOB","2015-05-27","-25.3716377321185","-49.449291229248"
17256,"410690","SISMOB","2015-05-27","-25.5284719278567","-49.287398097992"
17299,"410690","SISMOB","2015-05-27","-25.5020727063831","-49.289728937625895"
17329,"410690","SISMOB","2015-05-27","-25.4289301870812","-49.2602970581055"
17337,"410690","SISMOB","2015-05-27","-25.5079214115294","-49.30433356571201"
17469,"410690","SISMOB","2015-05-27","-25.3769062076744","-49.2565044145584"
17485,"410690","SISMOB","2015-05-27","-25.3878691607756","-49.2832406740189"
17507,"410690","SISMOB","2015-05-27","-25.3639888079787","-49.2629470806122"
2070278,"355630","SISMOB","2015-05-27","-21.2206091852438","-50.8666079335213"
2223600,"430105","PMAQ","2015-05-27","-29.5877373218528","-49.9148368835435"
2223759,"430463","PMAQ","2015-05-27","-29.637883901595202","-49.954919815062"
2223767,"430463","PMAQ","2015-05-27","-29.620921611785","-49.94646549224711"
2223775,"430463","PMAQ","2015-05-27","-29.7598278522483","-50.0334978103623"
2223856,"430163","PMAQ","2015-05-27","-30.2880728244773","-50.24985551833961"
2224135,"430105","PMAQ","2015-05-27","-29.501059055327502","-49.8537683486924"
2224623,"430085","PMAQ","2015-05-27","-30.912684202193304","-51.5008807182297"
2224658,"430085","PMAQ","2015-05-27","-30.909345550011803","-51.5013182505968"
2224674,"430165","PMAQ","2015-05-27","-29.3757784366599","-51.500730514524896"
2224682,"430175","PMAQ","2015-05-27","-30.390930175780397","-51.7370223999008"
2224720,"430190","PMAQ","2015-05-27","-30.292675499886798","-51.300873600611496"
2224739,"430265","PMAQ","2015-05-27","-29.5555279555572","-51.58891597165339"
2224747,"430265","PMAQ","2015-05-27","-29.4967353343955","-51.6505908966049"
2224755,"430265","PMAQ","2015-05-27","-29.5261538028708","-51.60426378249971"
2224909,"430190","PMAQ","2015-05-27","-30.292675499886798","-51.300873600611496"
2226383,"430350","PMAQ","2015-05-27","-30.8487081527701","-51.8151712417587"
2226820,"430165","PMAQ","2015-05-27","-29.387923479079298","-51.566133499144"
2226839,"430165","PMAQ","2015-05-27","-29.3935239315024","-51.4313793182358"
2227657,"430270","PMAQ","2015-05-27","-30.118256807326397","-51.9610190391525"
2227975,"430340","PMAQ","2015-05-27","-27.2809406646269","-53.431895485104"
2228033,"430185","PMAQ","2015-05-27","-27.188069961494197","-53.714412693305796"
2228068,"430237","PMAQ","2015-05-27","-27.546774204155398","-53.8667908856402"
2228394,"430050","PMAQ","2015-05-27","-27.2487687566901","-53.037366048551206"
2228750,"430060","PMAQ","2015-05-27","-30.048766136168602","-51.0615563392624"
2228815,"430060","PMAQ","2015-05-27","-30.0030076503745","-51.045441627501"
2228823,"430060","PMAQ","2015-05-27","-29.997493064742304","-51.0777294542001"
2228858,"430060","PMAQ","2015-05-27","-29.997493064742304","-51.0777294542001"
2228866,"430060","PMAQ","2015-05-27","-29.9882125854483","-51.068401336668394"
2228874,"430060","PMAQ","2015-05-27","-29.989414215087","-51.061170101164294"
2230038,"430460","PMAQ","2015-05-27","-29.918000000000003","-51.184"
2230046,"430460","PMAQ","2015-05-27","-29.963107109069","-51.1897873878464"
2230054,"430460","PMAQ","2015-05-27","-29.9011909961692","-51.140584945677205"
2230062,"430460","PMAQ","2015-05-27","-29.918550252913604","-51.140820980070494"
2230070,"430460","PMAQ","2015-05-27","-29.945082664488897","-51.17976665496679"
2230089,"430460","PMAQ","2015-05-27","-29.9606502056113","-51.1734795570359"
2230100,"430460","PMAQ","2015-05-27","-29.918696706490604","-51.1810297806876"
2230119,"430460","PMAQ","2015-05-27","-29.918696706490604","-51.1810297806876"
2230127,"430460","PMAQ","2015-05-27","-29.903497695922","-51.1841869354233"
2230143,"430460","PMAQ","2015-05-27","-29.8977470397941","-51.1733937263474"
2230151,"430460","PMAQ","2015-05-27","-29.886095523833397","-51.1833930015549"
2230178,"430460","PMAQ","2015-05-27","-29.960349798201605","-51.1682009696946"
2230186,"430460","PMAQ","2015-05-27","-29.8909342288962","-51.1357998847947"
2230194,"430460","PMAQ","2015-05-27","-29.9399757385245","-51.168265342710896"
2230208,"430460","PMAQ","2015-05-27","-29.908604600000004","-51.208418"
2230224,"430460","PMAQ","2015-05-27","-29.918000000000003","-51.184"
2230259,"430460","PMAQ","2015-05-27","-29.9229168891898","-51.130285263059996"
2230275,"430460","PMAQ","2015-05-27","-29.91502046585","-51.1195135116562"
2230291,"430460","PMAQ","2015-05-27","-29.923785924910604","-51.19789838790749"
