co_cnes,co_ibge,origem_dado,data_atualizacao,lat,long
18791,412550,PMAQ,2015-05-27,-25.5059409141533,-49.1715431213365
18805,412550,PMAQ,2015-05-27,-25.483077764510398,-49.147660732267894
18848,412550,PMAQ,2015-05-27,-25.537702,-49.20008246566729
18864,412550,PMAQ,2015-05-27,-25.480653047560896,-49.16789531707621
18872,412550,PMAQ,2015-05-27,-25.537702,-49.20008246566729
18899,412550,PMAQ,2015-05-27,-25.537702,-49.20008246566729
18929,412550,PMAQ,2015-05-27,-25.5282890796654,-49.2070126533494
18937,412550,PMAQ,2015-05-27,-25.5362498760216,-49.0902614593492
18945,412550,PMAQ,2015-05-27,-25.8023893833153,-48.9133214950547
18953,412550,PMAQ,2015-05-27,-25.592511892318,-49.129636287687795
18961,412550,PMAQ,2015-05-27,-25.664309263228603,-49.100260734556706
19070,412550,PMAQ,2015-05-27,-25.6755316257469,-49.1801691055284
19119,412550,PMAQ,2015-05-27,-25.6127572059624,-49.208621978758295
19127,412550,PMAQ,2015-05-27,-25.755622386931602,-49.165878295896995
2549743,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2549778,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2549786,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2549794,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2549808,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2549816,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2549824,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2549832,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2549840,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2549859,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2549867,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2549875,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2567091,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2567113,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2567121,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2567148,412560,PMAQ,2015-05-27,-25.869599505,-50.3906242547046
2567164,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2567172,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2567180,412560,PMAQ,2015-05-27,-25.874000000000002,-50.383
2573350,412580,PMAQ,2015-05-27,-23.8649965,-51.856012799999995
2573830,412580,PMAQ,2015-05-27,-23.865,-51.856
2573849,412580,PMAQ,2015-05-27,-23.865,-51.856
2576295,412600,PMAQ,2015-05-27,-23.45906,-50.7592
2576694,412520,PMAQ,2015-05-27,-25.706,-52.918
2576783,412620,PMAQ,2015-05-27,-23.9111638069146,-50.57963848113871
2576864,412620,PMAQ,2015-05-27,-23.89666,-50.56248
2576872,412620,PMAQ,2015-05-27,-23.856820000000003,-50.64118
2576880,412640,PMAQ,2015-05-27,-22.8500926494592,-50.8739519119248
2583372,412520,PMAQ,2015-05-27,-25.706,-52.918
2584360,412520,PMAQ,2015-05-27,-25.714948099592,-52.9201031661411
2584379,412520,PMAQ,2015-05-27,-25.6908309459679,-52.854516506193505
2584387,412520,PMAQ,2015-05-27,-25.777090787886802,-52.9175376892075
2585995,412635,PMAQ,2015-05-27,-25.38,-54.052
2587394,412570,PMAQ,2015-05-27,-25.3426587581627,-54.2434072494491
2587432,412570,PMAQ,2015-05-27,-25.471748113631502,-54.328379631040896
2587440,412570,PMAQ,2015-05-27,-25.349997282027502,-54.32022571563561
2587459,412570,PMAQ,2015-05-27,-25.3488942672582,-54.242120554006995
2587467,412570,PMAQ,2015-05-27,-25.3488942672582,-54.242120554006995
2587483,412570,PMAQ,2015-05-27,-25.2452301979058,-54.3054413795455
2587556,412635,PMAQ,2015-05-27,-25.3823,-54.054669999999994
2587920,412570,PMAQ,2015-05-27,-25.370070934294898,-54.158906936643895
2594773,412627,PMAQ,2015-05-27,-25.6950401,-52.616399300000005
2665360,412535,PMAQ,2015-05-27,-23.741,-53.927
2665379,412535,PMAQ,2015-05-27,-23.793983459472,-53.943171501158105
2682125,412550,PMAQ,2015-05-27,-25.540133714675196,-49.1544842720017
2683180,412630,PMAQ,2015-05-27,-24.115408658980602,-49.477894306181405
2684403,412510,PMAQ,2015-05-27,-25.683000000000003,-50.297
2684411,412510,PMAQ,2015-05-27,-25.655071735381302,-50.393235683439705
2684438,412510,PMAQ,2015-05-27,-25.6877624988548,-50.3013968467698
2684586,412630,PMAQ,2015-05-27,-24.1148936748498,-49.456865787504704
2731894,412625,PMAQ,2015-05-27,-23.4381937980645,-51.8695664405808
2732181,412625,PMAQ,2015-05-27,-23.439223766326197,-51.8764972686753
2734648,412555,PMAQ,2015-05-27,-23.39765,-52.64605
2734656,412610,PMAQ,2015-05-27,-23.541936800000002,-52.595912899999995
2735024,412625,PMAQ,2015-05-27,-23.4199976921075,-51.8745875358566
2735431,412625,PMAQ,2015-05-27,-23.4324538707726,-51.87630414962621
2735458,412530,PMAQ,2015-05-27,-23.435457861410303,-52.2943419624335
2735490,412530,PMAQ,2015-05-27,-23.4327971935265,-52.29539394378511
2735512,412625,PMAQ,2015-05-27,-23.4665286540978,-51.87222719192351
2735679,412625,PMAQ,2015-05-27,-23.4316813945763,-51.85976028442229
2735687,412625,PMAQ,2015-05-27,-23.4397065639489,-51.86692714691011
2735695,412625,PMAQ,2015-05-27,-23.4503173828118,-51.86913728713839
2754150,412590,PMAQ,2015-05-27,-22.720499038695603,-53.1744503974899
2754525,412590,PMAQ,2015-05-27,-22.825129449225198,-53.2229371404628
3767361,412570,PMAQ,2015-05-27,-25.441009998320798,-54.2341375350936
3767388,412570,PMAQ,2015-05-27,-25.242397785186,-54.22885894775229
4056205,412535,PMAQ,2015-05-27,-23.7582479652566,-53.88333056209721
4056256,412540,PMAQ,2015-05-27,-23.916,-49.652
4056272,412545,PMAQ,2015-05-27,-24.838,-54.06399999999999
4056302,412550,PMAQ,2015-05-27,-25.537702,-49.20008246566729
4056396,412575,PMAQ,2015-05-27,-24.973490238189,-53.761854171751395
4056418,412575,PMAQ,2015-05-27,-24.936,-53.855
4056434,412575,PMAQ,2015-05-27,-24.9520325660698,-53.78011465072479
4056442,412575,PMAQ,2015-05-27,-24.931894540786,-53.8585209846481
