co_cnes,co_ibge,origem_dado,data_atualizacao,lat,long
"2511290","420910","PMAQ","2015-05-27","-26.20594382286","-48.9074850082383"
"2511312","420910","PMAQ","2015-05-27","-26.3198733329765","-48.8747406005845"
"2511320","420910","PMAQ","2015-05-27","-26.2614011764519","-48.8448071479783"
"2511347","420910","PMAQ","2015-05-27","-26.3009905815117","-48.8163328170762"
"2511355","420910","PMAQ","2015-05-27","-26.2726879119865","-48.8252806663499"
"2511363","420910","PMAQ","2015-05-27","-26.304517648654","-48.849409143238"
"2511371","420910","PMAQ","2015-05-27","-26.304517648654","-48.849409143238"
"2511452","420910","PMAQ","2015-05-27","-26.304517648654","-48.849409143238"
"2511460","420910","PMAQ","2015-05-27","-26.2676453590385","-48.803501129149"
"2511479","420910","PMAQ","2015-05-27","-26.3271367549889","-48.837897777556"
"2511541","420910","PMAQ","2015-05-27","-26.362831592559","-48.8233709335313"
"2511568","420910","PMAQ","2015-05-27","-26.3173627853386","-48.8048529624925"
"2511576","420910","PMAQ","2015-05-27","-26.3447642326347","-48.7895536422715"
"2511606","420910","PMAQ","2015-05-27","-26.2542557716362","-48.8078784942613"
"2511614","420910","PMAQ","2015-05-27","-26.3228774070732","-48.8160753250108"
"2511703","420910","PMAQ","2015-05-27","-26.2871181964867","-48.9163899421678"
"2511711","420910","PMAQ","2015-05-27","-26.2939631938927","-48.8737964630113"
"2511746","420910","PMAQ","2015-05-27","-26.3447642326347","-48.7895536422715"
"2511770","420910","PMAQ","2015-05-27","-26.3426399230949","-48.7773442268357"
"2511819","420910","PMAQ","2015-05-27","-26.3626813888542","-48.8138866424546"
"2511835","420910","PMAQ","2015-05-27","-26.304517648654","-48.849409143238"
"2511843","420910","PMAQ","2015-05-27","-26.304517648654","-48.849409143238"
"2512017","420910","PMAQ","2015-05-27","-26.3458693027489","-48.8316965103135"
"2568667","420910","PMAQ","2015-05-27","-26.3498389720909","-48.9488124847398"
"2622955","420910","PMAQ","2015-05-27","-26.2163829803459","-48.8090801238999"
"2622963","420910","PMAQ","2015-05-27","-26.24379","-48.80203"
"2622971","420910","PMAQ","2015-05-27","-26.339045763015","-48.8015913963304"
"2657481","420910","PMAQ","2015-05-27","-26.3681316375725","-48.8274478912339"
"3001164","420910","PMAQ","2015-05-27","-26.25743","-48.92479"
"3004007","420910","PMAQ","2015-05-27","-26.2869","-48.77474"
"3062724","420910","PMAQ","2015-05-27","-26.3426399230949","-48.7773442268357"
"6767850","355430","SISMOB","2015-05-27","-22.5392379461142","-52.170028835535"
"3085864","420910","PMAQ","2015-05-27","-26.24379","-48.80203"
"3101150","420910","PMAQ","2015-05-27","-26.26185","-48.80242"
"3101711","420910","PMAQ","2015-05-27","-26.16705","-48.95508"
"3400069","420910","PMAQ","2015-05-27","-26.2059652805321","-48.8299584388719"
"3461203","420910","PMAQ","2015-05-27","-26.37825","-48.82715"
"8007535","420910","PMAQ","2015-05-27","-26.304517648654","-48.849409143238"
"2377438","420915","PMAQ","2015-05-27","-26.9546826165688","-49.6238066864874"
"2641526","420917","PMAQ","2015-05-27","-26.3937028180289","-52.7343805407579"
"2379988","420920","PMAQ","2015-05-27","-27.2646000912218","-51.5628663690798"
"2379996","420920","PMAQ","2015-05-27","-27.229131460189","-51.574587821959"
"2504286","420930","PMAQ","2015-05-27","-27.8172594631137","-50.3302224241895"
"2566796","420930","PMAQ","2015-05-27","-27.8172594631137","-50.3302224241895"
"2566826","420930","PMAQ","2015-05-27","-27.8172594631137","-50.3302224241895"
"2566834","420930","PMAQ","2015-05-27","-27.8172594631137","-50.3302224241895"
"2566842","420930","PMAQ","2015-05-27","-27.8172594631137","-50.3302224241895"
"2566850","420930","PMAQ","2015-05-27","-27.8172594631137","-50.3302224241895"
"2566877","420930","PMAQ","2015-05-27","-27.8172594631137","-50.3302224241895"
"2640260","420930","PMAQ","2015-05-27","-27.79405","-50.2826"
"2640279","420930","PMAQ","2015-05-27","-27.79555","-50.30426"
"2661438","420930","PMAQ","2015-05-27","-27.8333902359001","-50.3236269950852"
"2661446","420930","PMAQ","2015-05-27","-27.83251","-50.30838"
"2661454","420930","PMAQ","2015-05-27","-27.82813","-50.34821"
"2661497","420930","PMAQ","2015-05-27","-27.84309","-50.34734"
"2661500","420930","PMAQ","2015-05-27","-27.7974593639366","-50.3158164024338"
"2661535","420930","PMAQ","2015-05-27","-27.81053","-50.34693"
"2070278","355630","SISMOB","2015-05-27","-21.2206091852438","-50.8666079335213"
"2662736","420930","PMAQ","2015-05-27","-27.835214","-50.3178546"
"2662779","420930","PMAQ","2015-05-27","-27.82309","-50.34353"
"2662787","420930","PMAQ","2015-05-27","-27.791","-50.29917"
"2662809","420930","PMAQ","2015-05-27","-27.7970623970024","-50.3386473655686"
"2662817","420930","PMAQ","2015-05-27","-27.8258800506584","-50.3177690505967"
"2662825","420930","PMAQ","2015-05-27","-27.7307581901542","-50.0681734085069"
"2662841","420930","PMAQ","2015-05-27","-27.8277683258049","-50.3273606300339"
"2662868","420930","PMAQ","2015-05-27","-27.7732765674583","-50.1973485946641"
"3101746","420930","PMAQ","2015-05-27","-27.8311","-50.33737"
"7096976","355650","SISMOB","2015-05-27","-23.2220250967567","-46.8465560674667"
"2336553","420940","PMAQ","2015-05-27","-28.4835859539119","-48.7813886217994"
"2336561","420940","PMAQ","2015-05-27","-28.4835859539119","-48.7813886217994"
"2341069","420940","PMAQ","2015-05-27","-28.4835859539119","-48.7813886217994"
"2558025","420940","PMAQ","2015-05-27","-28.4835859539119","-48.7813886217994"
"2558068","420940","PMAQ","2015-05-27","-28.4835859539119","-48.7813886217994"
"2558084","420940","PMAQ","2015-05-27","-28.4835859539119","-48.7813886217994"
"2558092","420940","PMAQ","2015-05-27","-28.4835859539119","-48.7813886217994"
"2558122","420940","PMAQ","2015-05-27","-28.4835859539119","-48.7813886217994"
"2568691","420940","PMAQ","2015-05-27","-28.41428","-48.7976"
"3140814","420940","PMAQ","2015-05-27","-28.4814333915702","-48.7800693511949"
"3897303","420940","PMAQ","2015-05-27","-28.4835859539119","-48.7813886217994"
"3982173","420940","PMAQ","2015-05-27","-28.4835859539119","-48.7813886217994"
"2410974","420945","PMAQ","2015-05-27","-26.8609423456111","-52.5660348495432"
"2377039","420950","PMAQ","2015-05-27","-27.2123881016018","-49.7552636609799"
"2419262","420960","PMAQ","2015-05-27","-28.3802175521842","-49.4402146339402"
"2419270","420960","PMAQ","2015-05-27","-28.3899593353263","-49.380025863646"
"2419289","420960","PMAQ","2015-05-27","-28.3876526355735","-49.3887376785264"
"2419297","420960","PMAQ","2015-05-27","-28.3925020694724","-49.3992304801927"
"2419300","420960","PMAQ","2015-05-27","-28.4331643581382","-49.3868923187242"
"2419327","420960","PMAQ","2015-05-27","-28.4141421318046","-49.4143581390367"
"6868266","420960","PMAQ","2015-05-27","-28.393","-49.397"
"2301954","420970","PMAQ","2015-05-27","-26.8604779243461","-50.8300709724411"
"2301962","420970","PMAQ","2015-05-27","-26.9255375862114","-50.6756186485276"
"2301970","420970","PMAQ","2015-05-27","-26.9301696","-50.6963068"
"2302322","420970","PMAQ","2015-05-27","-26.93357348442","-50.6743526458726"
"2560380","420980","PMAQ","2015-05-27","-27.507","-49.287"
"2693267","420980","PMAQ","2015-05-27","-27.5063895156567","-49.2894014989799"
"2702320","420985","PMAQ","2015-05-27","-27.0474644814817","-52.0809226441985"
"6905722","420990","PMAQ","2015-05-27","-27.1263599395744","-49.5366239547715"
"2702398","421000","PMAQ","2015-05-27","-26.721","-48.933"
"2702401","421000","PMAQ","2015-05-27","-26.721","-48.933"
"2702649","421000","PMAQ","2015-05-27","-26.721","-48.933"
"2702657","421000","PMAQ","2015-05-27","-26.721","-48.933"
"2702665","421000","PMAQ","2015-05-27","-26.721","-48.933"
"5445507","421000","PMAQ","2015-05-27","-26.721","-48.933"
"2300176","421003","PMAQ","2015-05-27","-27.129896069211","-51.4679460432033"
"2300192","421003","PMAQ","2015-05-27","-27.1323037147514","-51.4704537391648"
"2379252","421010","PMAQ","2015-05-27","-26.2382054328911","-49.7446990013108"
"2379260","421010","PMAQ","2015-05-27","-26.1552763","-49.823761"
"2379287","421010","PMAQ","2015-05-27","-26.2067270278923","-50.0562644004807"
"2379295","421010","PMAQ","2015-05-27","-26.1393928527824","-50.0552773475632"
"3463303","421010","PMAQ","2015-05-27","-26.1133539676659","-49.9777293205247"
"4061098","421010","PMAQ","2015-05-27","-26.1152284942536","-49.8010375282692"
"4061144","421010","PMAQ","2015-05-27","-26.1552763","-49.823761"
"4061233","421010","PMAQ","2015-05-27","-26.1152284942536","-49.8010375282692"
"4061284","421010","PMAQ","2015-05-27","-26.1152284942536","-49.8010375282692"
"5360676","421010","PMAQ","2015-05-27","-26.1152284942536","-49.8010375282692"
"6906575","421010","PMAQ","2015-05-27","-26.122205257415","-49.8248434066758"
"2663090","421020","PMAQ","2015-05-27","-27.4240636825554","-49.0955400466905"
"2663104","421020","PMAQ","2015-05-27","-27.4186604134205","-48.9533539588878"
"4061322","421020","PMAQ","2015-05-27","-27.4230122566215","-49.1881084442124"
"2543060","421030","PMAQ","2015-05-27","-26.3646018505089","-50.3292059898362"
"2299860","421040","PMAQ","2015-05-27","-28.8523292541496","-49.4543123245225"
"2538172","421050","PMAQ","2015-05-27","-26.7616239472618","-53.174818815895"
"2538199","421050","PMAQ","2015-05-27","-26.7616239472618","-53.174818815895"
"2538202","421050","PMAQ","2015-05-27","-26.7616239472618","-53.174818815895"
"6293646","421050","PMAQ","2015-05-27","-26.7616239472618","-53.174818815895"
"6334571","421050","PMAQ","2015-05-27","-26.7616239472618","-53.174818815895"
"2410982","421055","PMAQ","2015-05-27","-26.8004219087544","-52.6271354100559"
"2593254","421060","PMAQ","2015-05-27","-26.611","-49.008"
"2663228","421060","PMAQ","2015-05-27","-26.611","-49.008"
"2663236","421060","PMAQ","2015-05-27","-26.5954580146676","-48.9887446627143"
"2663244","421060","PMAQ","2015-05-27","-26.58769","-48.9866"
"2490803","421070","PMAQ","2015-05-27","-26.4741154352024","-51.1574514436101"
"6146848","421070","PMAQ","2015-05-27","-26.5370464324943","-51.202855110167"
"2305496","421080","PMAQ","2015-05-27","-28.9001047611228","-49.5496487617478"
"2624443","421080","PMAQ","2015-05-27","-28.8307750225059","-49.6379041671739"
